split,file_label,sumber,asal,malam_sintetis,salinan,jumlah_kotak
train,2025-01-25_22-06_MT_ITH_06_cr1_jpg.rf.5c403553e14230d98518c52ad0507753_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-25_22-06_MT_ITH_06_cr1_jpg.rf.5c403553e14230d98518c52ad0507753_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-25_22-06_MT_ITH_06_cr1_jpg.rf.5c403553e14230d98518c52ad0507753_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_06-39_MT_ITH_06_cr1_jpg.rf.7b2d32e38767b5a5c43a1b9083e25bdc.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_06-39_MT_ITH_06_cr1_jpg.rf.7b2d32e38767b5a5c43a1b9083e25bdc_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_06-39_MT_ITH_06_cr1_jpg.rf.7b2d32e38767b5a5c43a1b9083e25bdc_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_06-39_MT_ITH_06_cr1_jpg.rf.7b2d32e38767b5a5c43a1b9083e25bdc_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_06-45_MT_ITH_06_cr1_jpg.rf.56d22d9454968070690466cfba4ae4ab.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_06-45_MT_ITH_06_cr1_jpg.rf.56d22d9454968070690466cfba4ae4ab_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_06-45_MT_ITH_06_cr1_jpg.rf.56d22d9454968070690466cfba4ae4ab_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_06-45_MT_ITH_06_cr1_jpg.rf.56d22d9454968070690466cfba4ae4ab_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_07-00_MT_ITH_06_cr1_jpg.rf.b2331afeac5e419ff1c41147f87c6a87.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_07-00_MT_ITH_06_cr1_jpg.rf.b2331afeac5e419ff1c41147f87c6a87_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_07-00_MT_ITH_06_cr1_jpg.rf.b2331afeac5e419ff1c41147f87c6a87_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_07-00_MT_ITH_06_cr1_jpg.rf.b2331afeac5e419ff1c41147f87c6a87_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_15-10_MT_ITH_06_cr1_jpg.rf.eabc101f3649c5919539c1e61c07a68c.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_15-10_MT_ITH_06_cr1_jpg.rf.eabc101f3649c5919539c1e61c07a68c_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_15-10_MT_ITH_06_cr1_jpg.rf.eabc101f3649c5919539c1e61c07a68c_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_15-10_MT_ITH_06_cr1_jpg.rf.eabc101f3649c5919539c1e61c07a68c_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_16-44_MT_ITH_06_cr1_jpg.rf.4bd7a7595002eb049f0f5665fd11a419.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_16-44_MT_ITH_06_cr1_jpg.rf.4bd7a7595002eb049f0f5665fd11a419_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_16-44_MT_ITH_06_cr1_jpg.rf.4bd7a7595002eb049f0f5665fd11a419_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_16-44_MT_ITH_06_cr1_jpg.rf.4bd7a7595002eb049f0f5665fd11a419_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_16-52_MT_ITH_06_cr1_jpg.rf.87b2c8fa682ce00e0a7ddd847ffcc421.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_16-52_MT_ITH_06_cr1_jpg.rf.87b2c8fa682ce00e0a7ddd847ffcc421_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_16-52_MT_ITH_06_cr1_jpg.rf.87b2c8fa682ce00e0a7ddd847ffcc421_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_16-52_MT_ITH_06_cr1_jpg.rf.87b2c8fa682ce00e0a7ddd847ffcc421_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-26_17-00_MT_ITH_06_cr1_jpg.rf.53ea4c41e05a64b8e0e84f7fdf71de62.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-26_17-00_MT_ITH_06_cr1_jpg.rf.53ea4c41e05a64b8e0e84f7fdf71de62_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-26_17-00_MT_ITH_06_cr1_jpg.rf.53ea4c41e05a64b8e0e84f7fdf71de62_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-26_17-00_MT_ITH_06_cr1_jpg.rf.53ea4c41e05a64b8e0e84f7fdf71de62_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-27_07-50_MT_ITH_06_cr1_jpg.rf.5f03c7c18d640a88de89e9f08c061fa2.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-27_07-50_MT_ITH_06_cr1_jpg.rf.5f03c7c18d640a88de89e9f08c061fa2_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-27_07-50_MT_ITH_06_cr1_jpg.rf.5f03c7c18d640a88de89e9f08c061fa2_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-27_07-50_MT_ITH_06_cr1_jpg.rf.5f03c7c18d640a88de89e9f08c061fa2_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-27_08-00_MT_ITH_06_cr1_jpg.rf.89974a03622d78ceb3bbd8da6a86d73b.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-27_08-00_MT_ITH_06_cr1_jpg.rf.89974a03622d78ceb3bbd8da6a86d73b_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-27_08-00_MT_ITH_06_cr1_jpg.rf.89974a03622d78ceb3bbd8da6a86d73b_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-27_08-00_MT_ITH_06_cr1_jpg.rf.89974a03622d78ceb3bbd8da6a86d73b_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_01-13_MT_ITH_05_cr1_jpg.rf.1f695c36631d6b327654524d28a845ce.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_01-13_MT_ITH_05_cr1_jpg.rf.1f695c36631d6b327654524d28a845ce_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_01-13_MT_ITH_05_cr1_jpg.rf.1f695c36631d6b327654524d28a845ce_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_01-13_MT_ITH_05_cr1_jpg.rf.1f695c36631d6b327654524d28a845ce_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_01-17_MT_ITH_06_cr1_jpg.rf.07a17533b72707f8f943452c54462193.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_01-17_MT_ITH_06_cr1_jpg.rf.07a17533b72707f8f943452c54462193_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_01-17_MT_ITH_06_cr1_jpg.rf.07a17533b72707f8f943452c54462193_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_01-17_MT_ITH_06_cr1_jpg.rf.07a17533b72707f8f943452c54462193_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_01-25_MT_ITH_05_cr1_jpg.rf.849ec44dd2a0856f230dc2c27cda84c6.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_01-25_MT_ITH_05_cr1_jpg.rf.849ec44dd2a0856f230dc2c27cda84c6_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_01-25_MT_ITH_05_cr1_jpg.rf.849ec44dd2a0856f230dc2c27cda84c6_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_01-25_MT_ITH_05_cr1_jpg.rf.849ec44dd2a0856f230dc2c27cda84c6_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_02-09_MT_ITH_03_cr1_jpg.rf.64c14cf543edbf32670d4384bbf8367b.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_02-09_MT_ITH_03_cr1_jpg.rf.64c14cf543edbf32670d4384bbf8367b_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_02-09_MT_ITH_03_cr1_jpg.rf.64c14cf543edbf32670d4384bbf8367b_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_02-09_MT_ITH_03_cr1_jpg.rf.64c14cf543edbf32670d4384bbf8367b_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_02-22_MT_ITH_03_cr1_jpg.rf.62886a6c69f6e88ea2734d26f688968b.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_02-22_MT_ITH_03_cr1_jpg.rf.62886a6c69f6e88ea2734d26f688968b_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_02-22_MT_ITH_03_cr1_jpg.rf.62886a6c69f6e88ea2734d26f688968b_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_02-22_MT_ITH_03_cr1_jpg.rf.62886a6c69f6e88ea2734d26f688968b_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_03-25_MT_ITH_06_cr1_jpg.rf.391dec55686c3123efc17f51c0c1f90e.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_03-25_MT_ITH_06_cr1_jpg.rf.391dec55686c3123efc17f51c0c1f90e_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_03-25_MT_ITH_06_cr1_jpg.rf.391dec55686c3123efc17f51c0c1f90e_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_03-25_MT_ITH_06_cr1_jpg.rf.391dec55686c3123efc17f51c0c1f90e_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_05-11_MT_ITH_06_cr1_jpg.rf.6049d813ae65a9dfe86d035ae3fcb49c.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_05-11_MT_ITH_06_cr1_jpg.rf.6049d813ae65a9dfe86d035ae3fcb49c_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_05-11_MT_ITH_06_cr1_jpg.rf.6049d813ae65a9dfe86d035ae3fcb49c_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_05-11_MT_ITH_06_cr1_jpg.rf.6049d813ae65a9dfe86d035ae3fcb49c_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_05-51_MT_ITH_05_cr1_jpg.rf.fd0a90d460fa747616789f5c4271b169.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_05-51_MT_ITH_05_cr1_jpg.rf.fd0a90d460fa747616789f5c4271b169_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_05-51_MT_ITH_05_cr1_jpg.rf.fd0a90d460fa747616789f5c4271b169_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_05-51_MT_ITH_05_cr1_jpg.rf.fd0a90d460fa747616789f5c4271b169_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_06-37_MT_ITH_06_cr1_jpg.rf.2aa6aa7026f40bc8711987fa6ab2e9a8.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_06-37_MT_ITH_06_cr1_jpg.rf.2aa6aa7026f40bc8711987fa6ab2e9a8_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_06-37_MT_ITH_06_cr1_jpg.rf.2aa6aa7026f40bc8711987fa6ab2e9a8_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_06-37_MT_ITH_06_cr1_jpg.rf.2aa6aa7026f40bc8711987fa6ab2e9a8_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-28_14-25_MT_ITH_05_cr1_jpg.rf.dbffedb444b43b87a9d14f22a7539f9e.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-28_14-25_MT_ITH_05_cr1_jpg.rf.dbffedb444b43b87a9d14f22a7539f9e_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-28_14-25_MT_ITH_05_cr1_jpg.rf.dbffedb444b43b87a9d14f22a7539f9e_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-28_14-25_MT_ITH_05_cr1_jpg.rf.dbffedb444b43b87a9d14f22a7539f9e_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_01-29_MT_ITH_03_cr1_jpg.rf.57e1b4b26066f70de9366cf26bedc445.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_01-29_MT_ITH_03_cr1_jpg.rf.57e1b4b26066f70de9366cf26bedc445_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_01-29_MT_ITH_03_cr1_jpg.rf.57e1b4b26066f70de9366cf26bedc445_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_01-29_MT_ITH_03_cr1_jpg.rf.57e1b4b26066f70de9366cf26bedc445_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_01-38_MT_ITH_03_cr1_jpg.rf.945a44aac858a8282fa15a682135ca69.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_01-38_MT_ITH_03_cr1_jpg.rf.945a44aac858a8282fa15a682135ca69_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_01-38_MT_ITH_03_cr1_jpg.rf.945a44aac858a8282fa15a682135ca69_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_01-38_MT_ITH_03_cr1_jpg.rf.945a44aac858a8282fa15a682135ca69_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_04-11_MT_ITH_03_cr1_jpg.rf.61186a6424f1c49df47debd91d90f764.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_04-11_MT_ITH_03_cr1_jpg.rf.61186a6424f1c49df47debd91d90f764_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_04-11_MT_ITH_03_cr1_jpg.rf.61186a6424f1c49df47debd91d90f764_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_04-11_MT_ITH_03_cr1_jpg.rf.61186a6424f1c49df47debd91d90f764_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_04-24_MT_ITH_03_cr1_jpg.rf.252f3946b71475c9ec3a8da1e137fc12.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_04-24_MT_ITH_03_cr1_jpg.rf.252f3946b71475c9ec3a8da1e137fc12_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_04-24_MT_ITH_03_cr1_jpg.rf.252f3946b71475c9ec3a8da1e137fc12_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_04-24_MT_ITH_03_cr1_jpg.rf.252f3946b71475c9ec3a8da1e137fc12_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_14-06_MT_ITH_08_cr1_jpg.rf.a1a16cc6e2ff55ef26f3400b506b2d56.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_14-06_MT_ITH_08_cr1_jpg.rf.a1a16cc6e2ff55ef26f3400b506b2d56_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_14-06_MT_ITH_08_cr1_jpg.rf.a1a16cc6e2ff55ef26f3400b506b2d56_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_14-06_MT_ITH_08_cr1_jpg.rf.a1a16cc6e2ff55ef26f3400b506b2d56_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_14-12_MT_ITH_08_cr1_jpg.rf.20da398143c57469dd47cb924659e78a.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_14-12_MT_ITH_08_cr1_jpg.rf.20da398143c57469dd47cb924659e78a_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_14-12_MT_ITH_08_cr1_jpg.rf.20da398143c57469dd47cb924659e78a_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_14-12_MT_ITH_08_cr1_jpg.rf.20da398143c57469dd47cb924659e78a_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_14-28_MT_ITH_08_cr1_jpg.rf.0b24ec4ed8441e575a8032726415403a.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_14-28_MT_ITH_08_cr1_jpg.rf.0b24ec4ed8441e575a8032726415403a_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_14-28_MT_ITH_08_cr1_jpg.rf.0b24ec4ed8441e575a8032726415403a_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_14-28_MT_ITH_08_cr1_jpg.rf.0b24ec4ed8441e575a8032726415403a_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_15-34_MT_ITH_08_cr1_jpg.rf.f7eb51eba658bce47afc3e17be1d36bf.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_15-34_MT_ITH_08_cr1_jpg.rf.f7eb51eba658bce47afc3e17be1d36bf_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_15-34_MT_ITH_08_cr1_jpg.rf.f7eb51eba658bce47afc3e17be1d36bf_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_15-34_MT_ITH_08_cr1_jpg.rf.f7eb51eba658bce47afc3e17be1d36bf_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-29_15-40_MT_ITH_08_cr1_jpg.rf.cb1c19acf431a9cfb91f92a74ecd5b10.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-29_15-40_MT_ITH_08_cr1_jpg.rf.cb1c19acf431a9cfb91f92a74ecd5b10_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-29_15-40_MT_ITH_08_cr1_jpg.rf.cb1c19acf431a9cfb91f92a74ecd5b10_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-29_15-40_MT_ITH_08_cr1_jpg.rf.cb1c19acf431a9cfb91f92a74ecd5b10_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
